,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
23,"Monday, May 2",SEA,@,HOU,L,0.0,3.0,9.0,12-11,2.0,2.5,Odorizzi,Gonzales,Montero,2:48,N,27321.0,1.18,-1,
24,"Tuesday, May 3",SEA,@,HOU,L,0.0,4.0,9.0,12-12,3.0,2.5,Javier,Flexen,None,3:12,N,23796.0,1.13,-2,
25,"Wednesday, May 4",SEA,@,HOU,L,2.0,7.0,9.0,12-13,3.0,3.5,Verlander,Brash,None,3:01,D,24110.0,1.08,-3,
26,"Thursday, May 5",SEA,Home,TBR,L,3.0,4.0,9.0,12-14,3.0,4.5,McClanahan,Ray,Raley,2:50,N,17027.0,.95,-4,
27,"Friday, May 6",SEA,Home,TBR,L,7.0,8.0,9.0,12-15,3.0,5.5,Raley,Sewald,None,3:54,N,26154.0,.91,-5,
28,"Saturday, May 7",SEA,Home,TBR,L,2.0,8.0,9.0,12-16,3.0,5.5,Rasmussen,Gonzales,None,3:01,N,31589.0,.82,-6,
29,"Sunday, May 8",SEA,Home,TBR,W-wo,2.0,1.0,10.0,13-16,3.0,5.5,Sewald,Wisler,None,3:04,D,32501.0,.78,1,
30,"Monday, May 9",SEA,Home,PHI,L,0.0,9.0,9.0,13-17,3.0,6.5,Suarez,Flexen,None,3:01,N,15881.0,.77,-1,
31,"Tuesday, May 10",SEA,Home,PHI,W,5.0,4.0,9.0,14-17,3.0,6.5,Ray,Nola,Sewald,3:36,N,16422.0,.69,1,
32,"Wednesday, May 11",SEA,Home,PHI,L,2.0,4.0,9.0,14-18,3.0,6.5,Dominguez,Gilbert,Knebel,3:11,D,16387.0,.75,-1,
33,"Friday, May 13",SEA,@,NYM,W,2.0,1.0,9.0,15-18,3.0,7.0,Sewald,Smith,Steckenrider,2:56,N,36629.0,.68,1,
34,"Saturday, May 14",SEA,@,NYM,L,4.0,5.0,9.0,15-19,3.0,7.0,Ottavino,Munoz,Díaz,3:30,N,37140.0,.71,-1,
35,"Sunday, May 15",SEA,@,NYM,W,8.0,7.0,9.0,16-19,3.0,7.0,Ray,Shreve,Castillo,3:22,D,38476.0,.66,1,
36,"Monday, May 16",SEA,@,TOR,L,2.0,6.0,9.0,16-20,3.0,7.0,Kikuchi,Flexen,Cimber,3:23,N,28207.0,.78,-1,
37,"Tuesday, May 17",SEA,@,TOR,L,0.0,3.0,9.0,16-21,4.0,8.0,Berrios,Gilbert,Cimber,2:20,N,22988.0,.74,-2,
38,"Wednesday, May 18",SEA,@,TOR,W,5.0,1.0,9.0,17-21,4.0,7.0,Gonzales,Gausman,None,2:47,N,20472.0,.72,1,
39,"Thursday, May 19",SEA,@,BOS,L,6.0,12.0,9.0,17-22,4.0,8.0,Houck,Kirby,None,3:38,N,29783.0,.71,-1,
40,"Friday, May 20",SEA,@,BOS,L,3.0,7.0,9.0,17-23,4.0,8.0,Davis,Ray,None,2:54,N,30842.0,.66,-2,
41,"Saturday, May 21",SEA,@,BOS,L,5.0,6.0,9.0,17-24,4.0,9.0,Schreiber,Steckenrider,Barnes,2:59,D,34832.0,.65,-3,
42,"Sunday, May 22",SEA,@,BOS,L-wo,4.0,8.0,10.0,17-25,4.0,10.0,Diekman,Munoz,None,3:18,D,33896.0,.58,-4,
43,"Monday, May 23",SEA,Home,OAK,W,7.0,6.0,9.0,18-25,4.0,9.0,Gonzales,Logue,Sewald,3:24,N,14415.0,.51,1,
44,"Tuesday, May 24",SEA,Home,OAK,L,5.0,7.0,9.0,18-26,4.0,10.0,Moll,Misiewicz,Jimenez,3:25,N,14797.0,.52,-1,
45,"Wednesday, May 25",SEA,Home,OAK,L,2.0,4.0,9.0,18-27,5.0,11.0,Blackburn,Ray,Jimenez,3:10,D,15856.0,.50,-2,
46,"Friday, May 27",SEA,Home,HOU,W,6.0,1.0,9.0,19-27,4.0,10.0,Flexen,Verlander,None,2:45,N,26017.0,.51,1,
47,"Saturday, May 28",SEA,Home,HOU,W,6.0,0.0,9.0,20-27,4.0,9.0,Gilbert,Urquidy,None,3:01,N,24007.0,.54,2,
48,"Sunday, May 29",SEA,Home,HOU,L,1.0,2.0,9.0,20-28,4.0,10.0,Montero,Gonzales,Pressly,3:00,D,28986.0,.62,-1,
49,"Tuesday, May 31",SEA,@,BAL,W,10.0,0.0,9.0,21-28,4.0,10.5,Kirby,Baker,None,2:51,N,8074.0,.49,1,
50,"Wednesday, Jun 1",SEA,@,BAL,L,2.0,9.0,9.0,21-29,4.0,11.5,Pérez,Ray,None,3:07,N,8400.0,.54,-1,
51,"Thursday, Jun 2",SEA,@,BAL,W,7.0,6.0,10.0,22-29,4.0,11.0,Castillo,Lopez,None,4:00,N,8817.0,.47,1,
52,"Friday, Jun 3",SEA,@,TEX,W,4.0,3.0,9.0,23-29,4.0,11.0,Murfee,Barlow,Sewald,2:51,N,25378.0,.55,2,
53,"Saturday, Jun 4",SEA,@,TEX,L,2.0,3.0,9.0,23-30,4.0,11.0,Otto,Gonzales,Barlow,2:30,D,28794.0,.60,-1,
54,"Sunday, Jun 5",SEA,@,TEX,W,6.0,5.0,10.0,24-30,4.0,11.0,Castillo,Burke,Sewald,3:39,D,27427.0,.58,1,
55,"Monday, Jun 6",SEA,@,HOU,W,7.0,4.0,9.0,25-30,4.0,10.0,Ray,Javier,Castillo,3:46,N,27521.0,.67,2,
56,"Tuesday, Jun 7",SEA,@,HOU,L,1.0,4.0,9.0,25-31,4.0,11.0,Verlander,Flexen,Pressly,3:19,N,30583.0,.72,-1,
57,"Wednesday, Jun 8",SEA,@,HOU,W,6.0,3.0,9.0,26-31,4.0,10.0,Gilbert,Urquidy,Castillo,3:09,N,23752.0,.67,1,
58,"Friday, Jun 10",SEA,Home,BOS,L,3.0,4.0,9.0,26-32,4.0,10.0,Diekman,Munoz,Houck,3:48,N,27314.0,.69,-1,
59,"Saturday, Jun 11",SEA,Home,BOS,W-wo,7.0,6.0,9.0,27-32,4.0,9.0,Sewald,Robles,None,3:37,N,37691.0,.63,1,
60,"Sunday, Jun 12",SEA,Home,BOS,L,0.0,2.0,9.0,27-33,4.0,10.0,Danish,Sewald,Houck,2:52,D,42900.0,.68,-1,
61,"Monday, Jun 13",SEA,Home,MIN,L,2.0,3.0,9.0,27-34,4.0,10.0,Thielbar,Flexen,Pagan,3:10,N,12749.0,.62,-2,
62,"Tuesday, Jun 14",SEA,Home,MIN,W,5.0,0.0,9.0,28-34,4.0,10.0,Gilbert,Ryan,None,2:36,N,13019.0,.55,1,
63,"Wednesday, Jun 15",SEA,Home,MIN,L,0.0,5.0,9.0,28-35,4.0,11.0,Jax,Gonzales,None,3:00,D,15329.0,.60,-1,
64,"Thursday, Jun 16",SEA,Home,LAA,L,1.0,4.0,9.0,28-36,4.0,11.5,Ohtani,Kirby,Iglesias,2:53,N,21485.0,.51,-2,
65,"Friday, Jun 17",SEA,Home,LAA,W,8.0,1.0,9.0,29-36,4.0,11.5,Ray,Lorenzen,None,2:37,N,37500.0,.43,1,
66,"Saturday, Jun 18 (1)",SEA,Home,LAA,L,2.0,4.0,10.0,29-37,4.0,12.0,Iglesias,Castillo,Quijada,3:24,D,24071.0,.49,-1,
67,"Saturday, Jun 18 (2)",SEA,Home,LAA,L,0.0,3.0,9.0,29-38,4.0,12.0,Herget,Milone,Bradley,2:57,N,20804.0,.50,-2,
68,"Sunday, Jun 19",SEA,Home,LAA,L,0.0,4.0,9.0,29-39,4.0,13.0,Wantz,Gilbert,None,2:44,D,39052.0,.37,-3,
69,"Tuesday, Jun 21",SEA,@,OAK,W,8.0,2.0,9.0,30-39,4.0,13.0,Gonzales,Kaprielian,None,3:03,N,4733.0,.30,1,
70,"Wednesday, Jun 22",SEA,@,OAK,W,9.0,0.0,9.0,31-39,4.0,13.0,Kirby,Blackburn,None,3:13,N,5414.0,.35,2,
71,"Thursday, Jun 23",SEA,@,OAK,W,2.0,1.0,9.0,32-39,4.0,12.0,Castillo,Jackson,Sewald,2:54,D,8215.0,.38,3,
72,"Friday, Jun 24",SEA,@,LAA,W,4.0,3.0,9.0,33-39,4.0,12.0,Flexen,Lorenzen,Sewald,3:41,N,35704.0,.47,4,
73,"Saturday, Jun 25",SEA,@,LAA,W,5.0,3.0,9.0,34-39,3.0,12.0,Gilbert,Bradley,Swanson,3:22,N,35466.0,.51,5,
